fix,rsci_uuid,Barcode No.,Barcode Prefix,Legacy Chemical (CAS) No.,cas 1,cas 2,cas 3,cas 4,cas 5,Chemical Formula,Chemical Name,Ak Notes
,0b7b9b6a-67d3-4791-9e60-6b52939be1a6,15017,OIL,8024-09-7,8024-09-7,,,,,,(No chemical name provided),
,8d656135-18c8-4eea-8008-607fa8b6537b,15022,OIL,8024-09-7,8024-09-7,,,,,,(No chemical name provided),
,aa1a3c73-e910-4419-bd4e-640250823f6d,15606,OIL,8024-09-7,8024-09-7,,,,,,(No chemical name provided),
,a161368d-b2f1-4519-b5b9-4c0dbaaf64e8,16336,OIL,8024-09-7,8024-09-7,,,,,,(No chemical name provided),
,cd975e8f-88bd-4cc0-b8f0-bf9d5d22453f,16544,OIL,8024-09-7,8024-09-7,,,,,,(No chemical name provided),
,da52f436-985e-4cca-9900-641412d72380,16545,OIL,8024-09-7,8024-09-7,,,,,,(No chemical name provided),
,da1dfbdf-984b-420b-aac3-80937f362dae,16546,OIL,8024-09-7,8024-09-7,,,,,,(No chemical name provided),
,a66742f2-eda8-46da-9121-70da11e059ba,11146,NRES,8050-09-7,8050-09-7,,,,,,(No chemical name provided),
,293d9e01-35f6-42de-9866-50a7c275dfc6,12826,NRES,8050-09-7,8050-09-7,,,,,,(No chemical name provided),
,b7c097c1-ce0b-49e9-a4a9-aa8e7a1d1600,12830,NRES,8050-09-7,8050-09-7,,,,,,(No chemical name provided),
,f2f85b44-c2f5-4b9c-92c9-ff50e27e2ff9,12852,NRES,8050-09-7,8050-09-7,,,,,,(No chemical name provided),
,7b16618c-735e-460a-9406-670f250db1d8,12859,NRES,8050-09-7,8050-09-7,,,,,,(No chemical name provided),
,6819fd45-d608-4a29-ac35-0cfc9e4279f6,12894,NRES,8050-09-7,8050-09-7,,,,,,(No chemical name provided),
,aaf24e5a-cc6d-4b1d-b0ef-240c65ed8ff9,12913,NRES,8050-09-7,8050-09-7,,,,,,(No chemical name provided),
,01adbe09-144b-4bbe-b8db-98edfe6586a0,12919,NRES,8050-09-7,8050-09-7,,,,,,(No chemical name provided),
,48356971-c031-4b1c-baa8-5df5d67ac042,15304,NRES,8050-09-7,8050-09-7,,,,,,(No chemical name provided),
,65c557e7-3fe3-47d9-9562-d7001b12738f,15305,NRES,8050-09-7,8050-09-7,,,,,,(No chemical name provided),
,acf01b13-81c3-44ad-b485-b09b726399fe,13162,NRES,8050-09-7,8050-09-7,,,,,,(No chemical name provided),
,eaeb46ac-bf5d-4ca4-a778-1a6a501afa95,16346,NRES,8050-09-7,8050-09-7,,,,,,(No chemical name provided),
,d7a886bd-8bad-42ba-94fc-7ea642c777de,19942,NRES,8050-09-7,8050-09-7,,,,,,(No chemical name provided),
,0bece088-5d7e-40d1-8a2f-eaa0dc995a13,11040,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,54a54fe7-fd15-42f7-a57c-4aefeae37078,11041,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,56286f05-9906-4bd3-b07f-0b72bfb34f85,11042,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,fba8bb74-d4a6-451e-aa32-b58488a3f75b,11043,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,34d4b1d3-d64c-4cfb-b45d-b4746ffd715f,11044,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,bad63356-ec9d-4ce0-b81f-1e9fbd7ea066,11045,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,6145c72e-5576-4d28-9e77-7c7bd891e63a,11047,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,083cfcc4-6a3d-47ad-b25d-eb8abd80fd7e,11124,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
,40962a03-0806-4d39-bc46-ab15390f9f92,11129,GUM,9000-01-5,9000-01-5,,,,,,(No chemical name provided),
