rsci_uuid,gbif_canonical_name,gbif_uri,Sample Type,Typical Use,gbif_statement,sample_type_pref_label,typical_use_pref_label,materials_pref_labels,READY_natural-synthetic,READY_mixture_type,READY_mixture_note_ratio,READY_mixture_note_technique,READY_comp_pigment_name,READY_comp_pigment_INCOLLECTION,READY_comp_pigement_type,READY_comp_pigment_dim_value,READY_comp_pigment_dim_unit,READY_comp_pigment_dim_type,READY_comp_pigment_dim_note,READY_comp_basemix_INCOLLECTION,READY_comp_basemix_name,READY_comp_basemix_type,READY_comp_basemix_dim_value,READY_comp_basemix_dim_unit,READY_comp_basemix_dim_type,READY_comp_basemix_dim_note,READY_comp1_name,READY_comp1_INCOLLECTION,READY_comp1_type,READY_comp1_dim_value,READY_comp1_dim_unit,READY_comp1_dim_type,READY_comp1_dim_note,READY_comp2_name,READY_comp2_INCOLLECTION,READY_comp2_type,READY_comp2_dim_value,READY_comp2_dim_unit,READY_comp2_dim_type,READY_comp2_dim_note,READY_comp3_name,READY_comp3_INCOLLECTION,READY_comp3_type,READY_comp3_dim_value,READY_comp3_dim_unit,READY_comp3_dim_type,READY_comp3_dim_note
0096e1a3-8b9b-42a7-8572-41889a743eb1,,,"Stone, natural",Other,,natural stone,other material,"[""natural stone""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00a0b57a-bb01-40e4-bdad-f87ec946f5ee,Virola surinamensis,https://www.gbif.org/species/3152848,Wood,Construction Material,Virola surinamensis (https://www.gbif.org/species/3152848),wood (plant material),,"[""wood (plant material)""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00a42c73-e36c-48a4-ad8f-df2c8862745d,,,"Stone, natural",Other,,natural stone,other material,"[""natural stone""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00a94916-7b52-4b52-9b93-509cc3c9537b,,,Pigment,Colorant,,pigments,,"[""pigments""]",synthetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00a97020-71e8-4958-8510-2b7eed685bb4,,,Paper,Paper,,paper (fiber product),paper (fiber product),"[""paper (fiber product)""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00aa22f6-d1fc-4d63-ac30-a87c818ea74d,Pinus resinosa,https://www.gbif.org/species/5285067,Wood,,Pinus resinosa (https://www.gbif.org/species/5285067),wood (plant material),,"[""wood (plant material)""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00b429c2-be56-4bfd-ba9e-16ff3e26380d,,,"Paint, acrylic",Colorant,,acrylic paint,,"[""acrylic paint""]",synthetic,multi-component mixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00c31791-960b-47b4-bbdf-db55e0d04740,,,Prepared mixture,,,mixtures (materials),,"[""mixtures (materials)""]",,,,,Yellow Ochre (Kremer Pigmente),,colorant,3.279,Gram,Mass,(No note),a515d0ce-f69a-4e9f-b0a5-22cf7e620bab,(From reference sample: Resin (98) / Gum (2.0)),base mixture,3.676,Gram,Mass,(No note),,,,,,,,,,,,,,,,,,,,,
00c418e5-d8a4-4fc9-bc38-8cac1c4f46ea,,,,,,,,,,,,,,,,,,,,,,,,,,,Lead White,,colorant,5.7,Gram,Mass,(No note),Mastic Resin (A.F. Suter & Co.),,,0.32,Gram,Mass,(No note),,,,,,,
00cf7f9d-56f8-486f-8beb-36f2453c029a,,,"Stone, natural",Other,,natural stone,other material,"[""natural stone""]",natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00d176af-e3a8-4ca9-b4cb-c5281cdb9935,,,"Paint, acrylic",Colorant,,acrylic paint,,"[""acrylic paint""]",synthetic,multi-component mixture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
