rsci_uuid,Chemical Name,Mixture Type,Sample Type,Typical Use,sample_type_value_uuid,typical_use_value_uuid,mixture_type_value_uuid,mixture_type_pref_label,sample_type_pref_label,typical_use_pref_label,mixture_type_value_uuids,object_type_value_uuids
3edcff3b-4f8b-4aa1-8ada-b6828dd04848,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
e6157a65-ff3f-46bb-9b31-3e54a65c9afe,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
64cfc5da-0901-4439-95f0-f57b46f9d855,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
b39ac4ef-8e71-4265-9dbd-9e7348194a68,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
22b779e0-a7c9-4272-89ea-624eb77662df,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
a7b8a93d-ffd0-40ce-9673-584972cc049f,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
3179b1ed-6c2e-4478-b4e5-4e5a5a440c74,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
f105cba0-bb09-4517-8873-26bae1df645a,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
029ab7c9-d52e-4ffb-8533-b4179722b248,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
957ac73f-a8ae-43a6-a8b2-dba1c196535b,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
a9b117e0-1619-4f2f-b293-0bb14394637d,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
4de474df-6b3f-4c1d-9da8-3a429a88ddad,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
fefcc897-7abe-49e2-ba5b-71ea37f17252,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
b7ed8261-d988-453d-969b-b216a83cfccb,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
cfb5f62f-6b58-4193-bb11-56e602e14f2d,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
223514ad-2eda-4bd7-bf1b-d684703d27cb,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
95eb0e79-b897-4b39-9efa-8b20f4cde280,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
00a0b57a-bb01-40e4-bdad-f87ec946f5ee,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
bed88123-1f14-4e10-b431-242186d131c8,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
17177328-640c-48c4-8d02-513e4e3d7757,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
d043a400-8bb1-4b03-9e86-73d1985b51ce,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
f61eaf44-6c9d-4cb8-9a87-dca9066ae0cc,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
1890b9fa-482b-4038-b2ca-0355e2819cce,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
3aa4d330-1d4c-47ed-8aa6-dbf96904c5fe,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
59a67964-fa16-44b7-8a9b-71f24e1bd0fe,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
aa649532-f7e6-420e-ad69-4cdd5316b007,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
1ee92b66-37fa-44d6-9c28-8e80c20afdd8,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
74939eb5-3a0a-4de0-adc6-c73a26949a38,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
701b13c8-3114-4c7e-a5b8-525607cea3f6,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
d83986bf-6149-4ad8-9b6c-adfd74b88ce3,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
2dc8cbba-9d4b-4bde-97fc-fb05eb2cbac3,,,Wood,Construction Material,c89a159f-d5b1-4f65-b2ef-755d70346c8c,,,,wood (plant material),,,"[""c89a159f-d5b1-4f65-b2ef-755d70346c8c""]"
