resourceinstanceid,graphid,graphpublicationid,principaluser_id,prod_1_tileid,prod_1_production__label,prod_1_production_location_geo,prod_1_production_type,prod_1_production_location_related_objs,pt_tileid,pt_production_time_begin_of_the_begin,pt_production_time_end_of_the_begin,pt_production_time_begin_of_the_end,pt_production_time_end_of_the_end,prod_1_production_carried_out_by_related_objs,prod_statement_tileid,prod_statement_production_statement_content,prod_statement_production_statement_type,prod_statement_production_statement_language
004432c6-dbd2-489c-b5e5-f5e436225953,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,a749e0cc-ddc7-4cba-bf67-787815e3272b,"{""en"": {""value"": ""Production of Barcode No. 23924"", ""direction"": ""ltr""}}",,,,,,,,,"[{""resourceId"": ""e58473b5-4209-4c4b-87d3-64bc63a5fbf6"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""0ddcb41c-5f6c-44d1-97e3-331f8e50e614"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",,,,
00467114-40bf-4e17-bbb5-248bfc0497fc,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,71d98ed1-b284-442a-987a-e1dfb8e44c27,"{""en"": {""value"": ""Production of Barcode No. 12528"", ""direction"": ""ltr""}}","{""type"": ""Point"", ""coordinates"": [4.82643, 52.43854]}",,"[{""resourceId"": ""407d1c04-b792-4ed6-94d2-8317362a0f15"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""581c787b-481b-4682-8bfd-aa76d6fd7f0d"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",,,,,,"[{""resourceId"": ""b3eb611a-2137-4fcb-9aaa-d02c065b8a35"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""760bb41a-8c27-4946-a6db-f806f03e1b73"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",,,,
00484b28-b1db-4349-825e-93f3eacb49d6,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,0af50e26-c75e-4207-b412-532bb2149881,"{""en"": {""value"": ""Production of Barcode No. 17109"", ""direction"": ""ltr""}}","{""type"": ""Point"", ""coordinates"": [10.5, 51.5]}",,"[{""resourceId"": ""db85b422-ea1b-4de9-b3e5-2199aab0fafb"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""596ce3a6-0909-480a-a93c-333029de39cc"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",3cf8ca30-dcac-4702-9059-42191e8c9d14,1978-01-01,1980-01-01,1980-12-31,1982-12-31,,,,,
004d5698-289a-4a2a-a8da-6f53bc1b6959,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,3b2e504e-44bc-42a7-b23d-b72c534e8710,"{""en"": {""value"": ""Production of Barcode No. 22842"", ""direction"": ""ltr""}}","{""type"": ""Point"", ""coordinates"": [-71.99907, 52.00017]}",,"[{""resourceId"": ""bbb8e2cb-01fe-4711-8bfe-0b4373c00db2"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""c0c0c09e-945d-45b0-8eb8-4fee26f6a4d9"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",,,,,,,,,,
00519dcb-27bd-4323-8fae-a384ef0d2f58,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,77d2b5af-758c-413d-ab9e-0b62018692ea,"{""en"": {""value"": ""Production of Barcode No. 20677"", ""direction"": ""ltr""}}","{""type"": ""Point"", ""coordinates"": [-98.5, 39.76]}",,"[{""resourceId"": ""12ab92a6-0269-49b0-a116-6998fd2ce65f"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""d3772e38-d9b6-41da-8d5f-be8614c22eae"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",7121ef76-4074-4720-a615-fab210054b7c,2006-01-01,2006-01-01,2006-12-31,2006-12-31,"[{""resourceId"": ""92007380-65b3-430f-98a4-2bd8c62c9b50"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""83cf4698-3c41-4e63-9af0-560901a956ba"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",,,,
005b6bad-02a1-45a7-87ff-b3a2380cf678,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,dde1d60c-e4c3-4724-8979-bd895b25f98e,"{""en"": {""value"": ""Production of Barcode No. 10215"", ""direction"": ""ltr""}}","{""type"": ""Point"", ""coordinates"": [-59.0, 5.0]}",,"[{""resourceId"": ""3248b3a3-b7f2-4d5c-8df5-778d7a34f20a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""537711c8-0377-45d3-9904-e4387554a339"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",,,,,,,,,,
005cea7e-521d-466f-ba51-bb8e8ddc97de,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,45a34ca6-6e21-4f03-8c36-3703adc3273a,"{""en"": {""value"": ""Production of Barcode No. 23471"", ""direction"": ""ltr""}}","{""type"": ""Point"", ""coordinates"": [-121.17606, 38.67796]}",,"[{""resourceId"": ""43a84f05-35ca-46ee-8614-46f2a78fc958"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""607f6463-c86e-4bf3-84ee-6b3c16b56c07"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",,,,,,,,,,
005d7c1a-d5e1-4077-b029-d6b4fae40a2c,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,6ece56b8-08e5-42c8-97be-91eac15166eb,"{""en"": {""value"": ""Production of Barcode No. 20754"", ""direction"": ""ltr""}}","{""type"": ""Point"", ""coordinates"": [10.5, 51.5]}",,"[{""resourceId"": ""db85b422-ea1b-4de9-b3e5-2199aab0fafb"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""4a3707dd-326e-41eb-8d7c-714af72d9370"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",,,,,,"[{""resourceId"": ""0c4992f7-296b-4f6e-8bff-f31de44daf92"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""edadfd35-9685-4697-a831-7a9a422155b5"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",,,,
0065c6bb-f7ea-49ab-ae06-d5668bca685c,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,22bd087c-c3e7-4d93-924a-f5ab85563c06,"{""en"": {""value"": ""Production of Barcode No. 19739"", ""direction"": ""ltr""}}","{""type"": ""Point"", ""coordinates"": [-113.64258, 60.10867]}",,"[{""resourceId"": ""fe72a817-1174-4ad0-a4c1-ea273a9b0706"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""e759fd2a-a9bb-44e5-a46e-6c7c6573f0e8"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",,,,,,"[{""resourceId"": ""8faf49f0-b89c-4dc5-a607-5c8129329a3c"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""17f9a1f3-fe17-42f7-a650-8b37f2abad19"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",,,,
006b20d6-f7c3-49ff-9e67-7417f6d4cdf1,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,e78e3101-cb3f-4eb3-9cb0-3c2d024258d5,"{""en"": {""value"": ""Production of Barcode No. 17076"", ""direction"": ""ltr""}}","{""type"": ""Point"", ""coordinates"": [10.5, 51.5]}",,"[{""resourceId"": ""db85b422-ea1b-4de9-b3e5-2199aab0fafb"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""e229aaa6-3c23-4b58-84fe-a12d3df44bc5"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",5939c2be-847d-45ba-899c-4c13241bff41,1978-01-01,1980-01-01,1980-12-31,1982-12-31,,,,,
