resourceinstanceid,graphid,graphpublicationid,principaluser_id,transactionid,cat_id_tileid,cat_id_identifier_content,cat_id_identifier_type,cat_id_transactionid,old_barcode_no_tileid,old_barcode_no_identifier_content,old_barcode_no_identifier_type,old_barcode_no_transactionid,standard_type_tileid,standard_type_standard_type,standard_type_transactionid
b2edf442-42b4-4aed-9e16-f23e1c2c4a97,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,8e3c0253-85a2-484a-9694-0bd309810b76,d5e7ec37-769c-4e81-a30f-df382e45cd9e,"{""en"": {""value"": ""Schweppe # 43"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""labels"": [{""id"": ""15e21f9c-97a4-4092-94c3-034fb9296f65"", ""value"": ""Manufacturer Catalog Identifier (ID)"", ""language_id"": ""en"", ""list_item_id"": ""cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f4a87a34-8288-4cec-8e20-b28bd567ce0a""}]",8e3c0253-85a2-484a-9694-0bd309810b76,,,,,,,
b2f10420-3e8e-4798-b48a-4ca249dfba13,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,8e3c0253-85a2-484a-9694-0bd309810b76,0e1dea1c-6218-442a-8c11-fe454ff1ef13,"{""en"": {""value"": ""1673"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""labels"": [{""id"": ""15e21f9c-97a4-4092-94c3-034fb9296f65"", ""value"": ""Manufacturer Catalog Identifier (ID)"", ""language_id"": ""en"", ""list_item_id"": ""cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f4a87a34-8288-4cec-8e20-b28bd567ce0a""}]",8e3c0253-85a2-484a-9694-0bd309810b76,,,,,,,
b2f16227-bcd6-45aa-b968-ab52c3b2bc01,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,8e3c0253-85a2-484a-9694-0bd309810b76,2d60ae91-1546-42cc-9d40-4633d561ed77,"{""en"": {""value"": ""1368"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""labels"": [{""id"": ""15e21f9c-97a4-4092-94c3-034fb9296f65"", ""value"": ""Manufacturer Catalog Identifier (ID)"", ""language_id"": ""en"", ""list_item_id"": ""cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f4a87a34-8288-4cec-8e20-b28bd567ce0a""}]",8e3c0253-85a2-484a-9694-0bd309810b76,,,,,,,
b2f35b88-3854-4e4f-b191-0df6dd350a60,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,8e3c0253-85a2-484a-9694-0bd309810b76,,,,,4eccff84-c75c-4bc1-a425-6023f7c1d852,"{""en"": {""value"": ""MIX0662"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/1c32efcd-999c-4b07-9b1f-df8279755bb8"", ""labels"": [{""id"": ""643764f8-9102-4b5c-95ed-74d2fd040d83"", ""value"": ""Old Barcode"", ""language_id"": ""en"", ""list_item_id"": ""1c32efcd-999c-4b07-9b1f-df8279755bb8"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f4a87a34-8288-4cec-8e20-b28bd567ce0a""}]",8e3c0253-85a2-484a-9694-0bd309810b76,,,
b2f55d4a-e235-4748-bd8b-f3ada51a23e1,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,8e3c0253-85a2-484a-9694-0bd309810b76,f9f2b11f-479d-4460-a23d-659e2ff1e180,"{""en"": {""value"": ""Kremer 60480"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""labels"": [{""id"": ""15e21f9c-97a4-4092-94c3-034fb9296f65"", ""value"": ""Manufacturer Catalog Identifier (ID)"", ""language_id"": ""en"", ""list_item_id"": ""cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f4a87a34-8288-4cec-8e20-b28bd567ce0a""}]",8e3c0253-85a2-484a-9694-0bd309810b76,,,,,,,
b2f670e1-0863-41ff-8225-a97958458e7c,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,8e3c0253-85a2-484a-9694-0bd309810b76,,,,,,,,,,,
b3032145-604c-4eeb-b853-2d24fbda4517,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,8e3c0253-85a2-484a-9694-0bd309810b76,57831a58-4766-4a14-9894-bd17a6446901,"{""en"": {""value"": ""1974"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""labels"": [{""id"": ""15e21f9c-97a4-4092-94c3-034fb9296f65"", ""value"": ""Manufacturer Catalog Identifier (ID)"", ""language_id"": ""en"", ""list_item_id"": ""cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f4a87a34-8288-4cec-8e20-b28bd567ce0a""}]",8e3c0253-85a2-484a-9694-0bd309810b76,,,,,,,
b3062704-8a44-4e75-ae4a-dfcd742fd96f,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,8e3c0253-85a2-484a-9694-0bd309810b76,0d54b631-0140-4a99-913b-e546db72b1fe,"{""en"": {""value"": ""DU 261"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""labels"": [{""id"": ""15e21f9c-97a4-4092-94c3-034fb9296f65"", ""value"": ""Manufacturer Catalog Identifier (ID)"", ""language_id"": ""en"", ""list_item_id"": ""cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f4a87a34-8288-4cec-8e20-b28bd567ce0a""}]",8e3c0253-85a2-484a-9694-0bd309810b76,,,,,,,
b3094c5c-1a19-4148-8691-68ea2603261f,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,8e3c0253-85a2-484a-9694-0bd309810b76,8c8b047b-96fa-418b-b1ac-d6fb0968ae02,"{""en"": {""value"": ""2249"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""labels"": [{""id"": ""15e21f9c-97a4-4092-94c3-034fb9296f65"", ""value"": ""Manufacturer Catalog Identifier (ID)"", ""language_id"": ""en"", ""list_item_id"": ""cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f4a87a34-8288-4cec-8e20-b28bd567ce0a""}]",8e3c0253-85a2-484a-9694-0bd309810b76,,,,,,,
b31399fb-d07b-426e-97ca-2ad974eccb69,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,8e3c0253-85a2-484a-9694-0bd309810b76,35c29f6d-a621-4ac6-b073-bc78d344bb7d,"{""en"": {""value"": ""18 492"", ""direction"": ""ltr""}}","[{""uri"": ""https://rascoll.usw1.gci.fargeo.net/plugins/controlled-list-manager/item/cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""labels"": [{""id"": ""15e21f9c-97a4-4092-94c3-034fb9296f65"", ""value"": ""Manufacturer Catalog Identifier (ID)"", ""language_id"": ""en"", ""list_item_id"": ""cf1011fb-f600-47aa-8fc8-fde647f962b7"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f4a87a34-8288-4cec-8e20-b28bd567ce0a""}]",8e3c0253-85a2-484a-9694-0bd309810b76,,,,,,,
