rsci_uuid,Fire Safety,Health Safety,Other Safety,Reactivity Safety,group_uuid,fire_safety_value_uuid,health_safety_value_uuid,other_safety_value_uuid,reactivity_safety_value_uuid
f17cdc8b-b46a-4f37-ae8f-9a84a422948e,0.0,1.0,,0.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,b1e26e3a-b178-4e51-8ae1-261a9937a099,4fc13889-bc88-4fc5-8ae8-56748363caf4,,d4bc692c-954e-4615-bdc6-f65fa9f01a47
cb9108a6-a40e-4506-8d61-db401fb421c8,0.0,3.0,,1.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,b1e26e3a-b178-4e51-8ae1-261a9937a099,e353d9b5-24e5-42bb-a4f5-12e1a4e1926b,,c5bf3543-f3a4-4050-bf90-9ee01f143773
479dbcfb-7301-4711-a60e-81fb94a5bf28,,3.0,,,19f9b6b2-02bf-4018-ae12-ed619d81571a,,e353d9b5-24e5-42bb-a4f5-12e1a4e1926b,,
69100101-7d69-4f32-9b78-73608e5054e5,0.0,1.0,,0.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,b1e26e3a-b178-4e51-8ae1-261a9937a099,4fc13889-bc88-4fc5-8ae8-56748363caf4,,d4bc692c-954e-4615-bdc6-f65fa9f01a47
c02024d3-e08f-456c-b158-ef6f9da29c51,0.0,3.0,,1.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,b1e26e3a-b178-4e51-8ae1-261a9937a099,e353d9b5-24e5-42bb-a4f5-12e1a4e1926b,,c5bf3543-f3a4-4050-bf90-9ee01f143773
f0761305-41a6-4ddf-8409-8b4dd478e6e1,0.0,1.0,,1.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,b1e26e3a-b178-4e51-8ae1-261a9937a099,4fc13889-bc88-4fc5-8ae8-56748363caf4,,c5bf3543-f3a4-4050-bf90-9ee01f143773
852d1788-2865-4767-adc9-af720d178afc,0.0,1.0,,1.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,b1e26e3a-b178-4e51-8ae1-261a9937a099,4fc13889-bc88-4fc5-8ae8-56748363caf4,,c5bf3543-f3a4-4050-bf90-9ee01f143773
4d83701e-8af2-4e4d-ba8e-e33c85985f1d,0.0,1.0,,1.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,b1e26e3a-b178-4e51-8ae1-261a9937a099,4fc13889-bc88-4fc5-8ae8-56748363caf4,,c5bf3543-f3a4-4050-bf90-9ee01f143773
b73f0958-6c51-4086-9163-e8c32892ebcb,0.0,1.0,,1.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,b1e26e3a-b178-4e51-8ae1-261a9937a099,4fc13889-bc88-4fc5-8ae8-56748363caf4,,c5bf3543-f3a4-4050-bf90-9ee01f143773
a69a89d5-118c-4c61-9d8f-aa2edfc2acbf,0.0,1.0,,0.0,19f9b6b2-02bf-4018-ae12-ed619d81571a,b1e26e3a-b178-4e51-8ae1-261a9937a099,4fc13889-bc88-4fc5-8ae8-56748363caf4,,d4bc692c-954e-4615-bdc6-f65fa9f01a47
