resourceinstanceid,graphid,graphpublicationid,principaluser_id,notes_tileid,notes_statement_content,notes_statement_type,notes_statement_language_,notes_nodegroupid,physical_form_tileid,physical_form_statement_content,physical_form_statement_type,physical_form_statement_language_,physical_form_nodegroupid,tileid,production_statement_content,statement_type,statement_language_,nodegroupid
983ec4f8-658d-4117-9923-5ed6ee5bc37a,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,,"""""","""""","""""",,,"""""","""""","""""",,,"""""","""""","""""",
3e1c2a7d-032e-4353-afd6-52037988b2f5,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,,"""""","""""","""""",,,"""""","""""","""""",,,"""""","""""","""""",
a01ff5d2-95ec-4b49-813c-5654e8d3ac45,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,,"""""","""""","""""",,19c65080-7bad-4bdd-82b2-12b4f651bfc5,"{""en"": {""value"": ""Opaque, Chunk(s)"", ""direction"": ""ltr""}}","[""72c01bf3-60a3-4a09-bc33-ddbd508c145f""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda499a0-d376-11ef-a239-0275dc2ded29,,"""""","""""","""""",
0931b40e-5dea-4b0f-846f-038a04526d53,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,,"""""","""""","""""",,7493634b-126a-420d-b080-a1d3f9d07e91,"{""en"": {""value"": ""Opaque, Powder"", ""direction"": ""ltr""}}","[""72c01bf3-60a3-4a09-bc33-ddbd508c145f""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda499a0-d376-11ef-a239-0275dc2ded29,,"""""","""""","""""",
d3e941ea-7a05-4bdf-be73-73705ee5ab58,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,,"""""","""""","""""",,866405a5-99ef-4b23-a3da-eed69eee20f9,"{""en"": {""value"": ""Opaque, Powder"", ""direction"": ""ltr""}}","[""72c01bf3-60a3-4a09-bc33-ddbd508c145f""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda499a0-d376-11ef-a239-0275dc2ded29,,"""""","""""","""""",
c8c46aa2-58ec-482d-a3db-2f41b8075659,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,e1201a76-5aa5-4429-bc69-59a8c503882f,"{""en"": {""value"": ""lab #15231/47"", ""direction"": ""ltr""}}","[""9886efe9-c323-49d5-8d32-5c2a214e5630""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda499a0-d376-11ef-a239-0275dc2ded29,6f046cc7-9bf5-495f-8734-c6a60609fbef,"{""en"": {""value"": ""Opaque, Powder"", ""direction"": ""ltr""}}","[""72c01bf3-60a3-4a09-bc33-ddbd508c145f""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda499a0-d376-11ef-a239-0275dc2ded29,,"""""","""""","""""",
2ca0f34f-2f56-4eed-922b-ece0f438034f,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,,"""""","""""","""""",,f3d62406-75b3-4752-a061-b75b7e7684d6,"{""en"": {""value"": ""strips of sticky, stiff, reddish brown material Translucent, Chunk(s)"", ""direction"": ""ltr""}}","[""72c01bf3-60a3-4a09-bc33-ddbd508c145f""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda499a0-d376-11ef-a239-0275dc2ded29,,"""""","""""","""""",
dae1c415-16e4-49f9-ac6c-8e3c7c581a97,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,,"""""","""""","""""",,6af5e853-be47-4470-9d7b-2e10a7d10440,"{""en"": {""value"": ""Opaque, Solid"", ""direction"": ""ltr""}}","[""72c01bf3-60a3-4a09-bc33-ddbd508c145f""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda499a0-d376-11ef-a239-0275dc2ded29,,"""""","""""","""""",
1ddb6f87-7018-41ab-bb19-9521164e893e,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,,"""""","""""","""""",,728c2ff4-dc4e-4dce-87f2-ea83bd5dfc44,"{""en"": {""value"": ""Translucent, Chunk(s)"", ""direction"": ""ltr""}}","[""72c01bf3-60a3-4a09-bc33-ddbd508c145f""]","[""bc35776b-996f-4fc1-bd25-9f6432c1f349""]",bda499a0-d376-11ef-a239-0275dc2ded29,,"""""","""""","""""",
3435d4be-fa0b-453a-af89-6219fc04c73b,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,,"""""","""""","""""",,,"""""","""""","""""",,,"""""","""""","""""",
0def1f0a-6d92-4f52-9bbd-1f9de6752bf7,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,,"""""","""""","""""",,,"""""","""""","""""",,,"""""","""""","""""",
6cdc7e30-bc92-43d7-ad58-3f7be2e89cb3,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,,"""""","""""","""""",,,"""""","""""","""""",,,"""""","""""","""""",
05734b21-1b17-4cec-ba4a-230f0c9129fd,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,,"""""","""""","""""",,,"""""","""""","""""",,,"""""","""""","""""",
