resourceinstanceid,graphid,graphpublicationid,principaluser_id,transactionid,statement_tileid,statement_statement_content,statement_statement_type,statement_statement_language_,statement_transactionid
466f051a-1529-427d-9be5-d60be9d99073,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,126e39e6-a2b0-4bb9-9af3-a22e945b1c92,490667f5-3e1c-438c-ab22-7f243f3e1d58,"{""en"": {""value"": ""light yellow on dark blue-black"", ""direction"": ""ltr""}}",[],"[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""bf59ca74-9146-4b2e-8ba7-3d7c30791491"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]",126e39e6-a2b0-4bb9-9af3-a22e945b1c92
466f051a-1529-427d-9be5-d60be9d99073,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,126e39e6-a2b0-4bb9-9af3-a22e945b1c92,892c2a25-71be-4885-aeba-577a8c26e75e,"{""en"": {""value"": ""pigment identification"", ""direction"": ""ltr""}}",[],"[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""bf59ca74-9146-4b2e-8ba7-3d7c30791491"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]",126e39e6-a2b0-4bb9-9af3-a22e945b1c92
bc42ef5b-73da-45ca-923b-9bbf34e2084a,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,126e39e6-a2b0-4bb9-9af3-a22e945b1c92,57e5ffbd-6247-4cbb-b124-f98643d0d5cc,"{""en"": {""value"": ""orange on dark blue-black"", ""direction"": ""ltr""}}",[],"[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""bf59ca74-9146-4b2e-8ba7-3d7c30791491"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]",126e39e6-a2b0-4bb9-9af3-a22e945b1c92
bc42ef5b-73da-45ca-923b-9bbf34e2084a,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,126e39e6-a2b0-4bb9-9af3-a22e945b1c92,cfec4e9f-fd2d-4f6e-b52c-c89829fd2bdf,"{""en"": {""value"": ""pigment identification"", ""direction"": ""ltr""}}",[],"[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""bf59ca74-9146-4b2e-8ba7-3d7c30791491"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]",126e39e6-a2b0-4bb9-9af3-a22e945b1c92
