rsci_uuid,specific_place_uri_1,specific_place_uri_2,place_uuid_1,geo_point_1,place_uuid_2,geo_point_2
f105cba0-bb09-4517-8873-26bae1df645a,https://www.geonames.org/6255146,,98a39fc9-1aeb-4405-addd-43bba971a428,"{""type"": ""Point"", ""coordinates"": [21.09375, 7.1881]}",,
029ab7c9-d52e-4ffb-8533-b4179722b248,https://www.geonames.org/4331987,,20c106ff-439c-4288-9785-3cb2cc52d25f,"{""type"": ""Point"", ""coordinates"": [-92.0004, 31.00047]}",,
957ac73f-a8ae-43a6-a8b2-dba1c196535b,https://www.geonames.org/5815135,,70ad6d87-d854-4e9f-8be0-f641d8979e1f,"{""type"": ""Point"", ""coordinates"": [-120.50147, 47.50012]}",,
a9b117e0-1619-4f2f-b293-0bb14394637d,https://www.geonames.org/4099753,,3a90921a-b9a9-4f4b-b8cb-1f63df63370e,"{""type"": ""Point"", ""coordinates"": [-92.50044, 34.75037]}",,
4de474df-6b3f-4c1d-9da8-3a429a88ddad,https://www.geonames.org/1327865,,8c779a85-9604-46cf-aa1e-6a0d03e95957,"{""type"": ""Point"", ""coordinates"": [96.0, 21.0]}",,
fefcc897-7abe-49e2-ba5b-71ea37f17252,https://www.geonames.org/6255146,,98a39fc9-1aeb-4405-addd-43bba971a428,"{""type"": ""Point"", ""coordinates"": [21.09375, 7.1881]}",,
b7ed8261-d988-453d-969b-b216a83cfccb,https://www.geonames.org/7729885,,9db8b498-e427-4ff4-a6a7-4416d40b4a39,"{""type"": ""Point"", ""coordinates"": [-4.83398, 18.31281]}",,
cfb5f62f-6b58-4193-bb11-56e602e14f2d,https://www.geonames.org/5815135,,70ad6d87-d854-4e9f-8be0-f641d8979e1f,"{""type"": ""Point"", ""coordinates"": [-120.50147, 47.50012]}",,
223514ad-2eda-4bd7-bf1b-d684703d27cb,https://www.geonames.org/1861060,,733128ab-aa88-4acb-a7bf-7f2e32fb1b74,"{""type"": ""Point"", ""coordinates"": [139.75309, 35.68536]}",,
95eb0e79-b897-4b39-9efa-8b20f4cde280,https://www.geonames.org/5128638,,92bdf162-91d4-464d-8f60-3c0e3670742d,"{""type"": ""Point"", ""coordinates"": [-75.4999, 43.00035]}",,
00a0b57a-bb01-40e4-bdad-f87ec946f5ee,https://www.geonames.org/3686110,,ad2f007e-6ad9-4a83-91fd-3319152e427b,"{""type"": ""Point"", ""coordinates"": [-73.25, 4.0]}",,
bed88123-1f14-4e10-b431-242186d131c8,https://www.geonames.org/4331987,,20c106ff-439c-4288-9785-3cb2cc52d25f,"{""type"": ""Point"", ""coordinates"": [-92.0004, 31.00047]}",,
17177328-640c-48c4-8d02-513e4e3d7757,https://www.geonames.org/1694008,,b361c7a3-5a97-42b5-9291-fae0eb304875,"{""type"": ""Point"", ""coordinates"": [122.56155, 13.40882]}",,
d043a400-8bb1-4b03-9e86-73d1985b51ce,https://www.geonames.org/1694008,,b361c7a3-5a97-42b5-9291-fae0eb304875,"{""type"": ""Point"", ""coordinates"": [122.56155, 13.40882]}",,
f61eaf44-6c9d-4cb8-9a87-dca9066ae0cc,https://www.geonames.org/5165418,,924d16f0-7ac6-48f6-8231-b38d2b7facf1,"{""type"": ""Point"", ""coordinates"": [-83.00018, 40.25034]}",,
1890b9fa-482b-4038-b2ca-0355e2819cce,https://www.geonames.org/4331987,,20c106ff-439c-4288-9785-3cb2cc52d25f,"{""type"": ""Point"", ""coordinates"": [-92.0004, 31.00047]}",,
3aa4d330-1d4c-47ed-8aa6-dbf96904c5fe,https://www.geonames.org/4331987,,20c106ff-439c-4288-9785-3cb2cc52d25f,"{""type"": ""Point"", ""coordinates"": [-92.0004, 31.00047]}",,
59a67964-fa16-44b7-8a9b-71f24e1bd0fe,https://www.geonames.org/4736286,,79ca6d79-7804-4376-9b38-6e07205c2772,"{""type"": ""Point"", ""coordinates"": [-99.25061, 31.25044]}",,
aa649532-f7e6-420e-ad69-4cdd5316b007,https://www.geonames.org/5279468,,eb016411-0bb9-4958-94be-ac82e2b61b09,"{""type"": ""Point"", ""coordinates"": [-90.00041, 44.50024]}",,
1ee92b66-37fa-44d6-9c28-8e80c20afdd8,https://www.geonames.org/5279468,,eb016411-0bb9-4958-94be-ac82e2b61b09,"{""type"": ""Point"", ""coordinates"": [-90.00041, 44.50024]}",,
74939eb5-3a0a-4de0-adc6-c73a26949a38,https://www.geonames.org/4331987,,20c106ff-439c-4288-9785-3cb2cc52d25f,"{""type"": ""Point"", ""coordinates"": [-92.0004, 31.00047]}",,
701b13c8-3114-4c7e-a5b8-525607cea3f6,https://www.geonames.org/5279468,,eb016411-0bb9-4958-94be-ac82e2b61b09,"{""type"": ""Point"", ""coordinates"": [-90.00041, 44.50024]}",,
d83986bf-6149-4ad8-9b6c-adfd74b88ce3,https://www.geonames.org/6269131,,c82ad3b5-fc69-4930-abfc-8cd06f28534a,"{""type"": ""Point"", ""coordinates"": [-0.70312, 52.16045]}",,
2dc8cbba-9d4b-4bde-97fc-fb05eb2cbac3,https://www.geonames.org/5332921,,920dc38b-c630-4b74-8b66-7e5c56ad40b6,"{""type"": ""Point"", ""coordinates"": [-119.75126, 37.25022]}",,
a1d6b2ff-ef34-408b-8a90-e3ca21327267,https://www.geonames.org/7729892,,57e60399-fe7b-4c09-8d3e-8046866011b1,"{""type"": ""Point"", ""coordinates"": [-99.66797, 25.32417]}",,
36b2ffcc-502d-46b6-b151-fea1f31e74c9,https://www.geonames.org/1861060,,733128ab-aa88-4acb-a7bf-7f2e32fb1b74,"{""type"": ""Point"", ""coordinates"": [139.75309, 35.68536]}",,
b7d03e97-76b8-4805-a7f8-2e0e56bf583e,https://www.geonames.org/5909050,,3401ae8d-5cd2-48dd-884e-d7fdfa6caa19,"{""type"": ""Point"", ""coordinates"": [-125.0032, 53.99983]}",,
d9a4be1d-39a5-4460-a76c-0a06197d7131,https://www.geonames.org/5879092,,50dd53f9-3b7b-4d00-8817-3506cd170aaf,"{""type"": ""Point"", ""coordinates"": [-150.00028, 64.00028]}",,
55edbe8e-e4fd-4b99-be9a-18a68b2dd188,https://www.geonames.org/6255150,,b1776524-9f4b-47f6-a96a-87ad0b8b51e8,"{""type"": ""Point"", ""coordinates"": [-57.65625, -14.60485]}",,
ec69ecd1-3f28-46d2-932f-75ad6d684362,https://www.geonames.org/5279468,,eb016411-0bb9-4958-94be-ac82e2b61b09,"{""type"": ""Point"", ""coordinates"": [-90.00041, 44.50024]}",,
9b47f591-9425-4dac-b683-9e37daecd26a,https://www.geonames.org/5279468,,eb016411-0bb9-4958-94be-ac82e2b61b09,"{""type"": ""Point"", ""coordinates"": [-90.00041, 44.50024]}",,
4b99b4da-fb3d-437b-a245-8bd5a4285045,https://www.geonames.org/5279468,,eb016411-0bb9-4958-94be-ac82e2b61b09,"{""type"": ""Point"", ""coordinates"": [-90.00041, 44.50024]}",,
843f0964-0baa-4159-b3fd-4ce36731fda6,https://www.geonames.org/5744337,,5d5eaa4a-d453-4bae-884c-60fc59526915,"{""type"": ""Point"", ""coordinates"": [-120.50139, 44.00013]}",,
fe68510b-758c-4b16-8eb8-db770c3f21ef,https://www.geonames.org/5165418,,924d16f0-7ac6-48f6-8231-b38d2b7facf1,"{""type"": ""Point"", ""coordinates"": [-83.00018, 40.25034]}",,
11f14715-755f-4cc5-b78b-a42115fb19db,https://www.geonames.org/5128638,,92bdf162-91d4-464d-8f60-3c0e3670742d,"{""type"": ""Point"", ""coordinates"": [-75.4999, 43.00035]}",,
c0241fff-bcdc-4fae-919e-d1536e8bb552,https://www.geonames.org/2077456,,bc21b2ed-9987-478f-a208-4ef9b25e048e,"{""type"": ""Point"", ""coordinates"": [135.0, -25.0]}",,
