resourceinstanceid,graphid,graphpublicationid,principaluser_id,transactionid,dig_res_type_tileid,dig_res_type_type,dig_res_type_transactionid,dig_res_create_tileid,dig_res_create_digital_resource_creation_type,dig_res_create_transactionid
65c6de5a-7ea4-46e0-bcfd-5e1c479bac1f,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,f63f9089-a2e6-494c-a735-819805a6ad51,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""4470e5a1-2177-4f9c-ba53-9a371a4f4634"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""8dc4c1ac-aae5-41f6-817b-9ee5fef855fe""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58,b1f8e2a3-41b9-4916-96cb-746732938a11,[],f9f0dce9-ad56-49a7-a013-017a510f5c58
7ccefd30-b863-48af-b58d-33a75e7cec1b,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,3e779447-7bff-4325-b62e-4c69c83cebe8,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""4470e5a1-2177-4f9c-ba53-9a371a4f4634"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""8dc4c1ac-aae5-41f6-817b-9ee5fef855fe""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58,7a127504-3865-45cc-98c7-cc59287f827e,[],f9f0dce9-ad56-49a7-a013-017a510f5c58
83a6ebf8-4e43-4233-aa2c-8c33731de73d,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,215847cc-f45e-44ac-8135-66516cc95443,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""4470e5a1-2177-4f9c-ba53-9a371a4f4634"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""8dc4c1ac-aae5-41f6-817b-9ee5fef855fe""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58,3ff3d61f-96e8-4415-aafc-2a0c133f6fbf,[],f9f0dce9-ad56-49a7-a013-017a510f5c58
86cdd5f1-0359-4fee-9b44-48e144998ea4,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,c5671214-1bb3-4e84-b171-9f0b33d09a47,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""4470e5a1-2177-4f9c-ba53-9a371a4f4634"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""8dc4c1ac-aae5-41f6-817b-9ee5fef855fe""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58,75d96169-e554-483a-ac35-3c702c3e697f,[],f9f0dce9-ad56-49a7-a013-017a510f5c58
a61d9e9a-1fbc-4abe-97b5-6566b7475e14,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,2dbb7459-70db-474f-b77b-f120776a7fb1,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""4470e5a1-2177-4f9c-ba53-9a371a4f4634"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""8dc4c1ac-aae5-41f6-817b-9ee5fef855fe""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58,bfae32b4-c576-4e16-a7d7-4faa5488ffb0,[],f9f0dce9-ad56-49a7-a013-017a510f5c58
c4677cb7-f7a8-4186-bf30-aad543b9d316,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,0f8a2d8c-b611-4531-9406-b1d24c1de271,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""4470e5a1-2177-4f9c-ba53-9a371a4f4634"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""8dc4c1ac-aae5-41f6-817b-9ee5fef855fe""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58,8169c8dd-b187-4ee1-9aea-4aff693cd6ae,[],f9f0dce9-ad56-49a7-a013-017a510f5c58
cd01f397-1a5e-4a26-bec1-66d66fc482d6,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,78037ea1-7854-4903-88cf-b6cccb939a4d,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""4470e5a1-2177-4f9c-ba53-9a371a4f4634"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""8dc4c1ac-aae5-41f6-817b-9ee5fef855fe""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58,7b8a0173-a562-47a3-9fd9-a08924d1d0e3,[],f9f0dce9-ad56-49a7-a013-017a510f5c58
d9c0434a-e70f-4760-ad26-b5137f1b3576,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,34b8c2e0-bc63-4225-a038-663131042086,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""4470e5a1-2177-4f9c-ba53-9a371a4f4634"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""8dc4c1ac-aae5-41f6-817b-9ee5fef855fe""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58,22c9923d-3ac4-4063-9755-b9849a8ad00a,[],f9f0dce9-ad56-49a7-a013-017a510f5c58
db7a234e-14a9-4c9a-928e-9ef3be493ab4,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,82279c6e-e610-4710-a451-4f6b89182a25,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""4470e5a1-2177-4f9c-ba53-9a371a4f4634"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""8dc4c1ac-aae5-41f6-817b-9ee5fef855fe""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58,ce551378-7de6-4f0e-aa81-304d1c8734bc,[],f9f0dce9-ad56-49a7-a013-017a510f5c58
f04a3ee9-855c-4f09-8814-00dab1925a1b,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,b068819d-946d-45ef-8344-49a162a5a5a6,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""4470e5a1-2177-4f9c-ba53-9a371a4f4634"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""8dc4c1ac-aae5-41f6-817b-9ee5fef855fe""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58,cb092b8e-00be-4727-a265-d6ce6fa091ec,[],f9f0dce9-ad56-49a7-a013-017a510f5c58
f43fd007-ca58-4c5d-9981-2a7f7f9a8a12,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,2a4f12d5-b97d-4316-8e97-cdd9b4bee16b,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""4470e5a1-2177-4f9c-ba53-9a371a4f4634"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""8dc4c1ac-aae5-41f6-817b-9ee5fef855fe""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58,67a98cf4-a047-4e1b-939b-4c78858c11ee,[],f9f0dce9-ad56-49a7-a013-017a510f5c58
f58f23da-3d10-488d-867e-e844aecec68b,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,7da3df86-5bad-4947-9bc0-2d89e8fcae24,"[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""labels"": [{""id"": ""4470e5a1-2177-4f9c-ba53-9a371a4f4634"", ""value"": ""Dataset"", ""language_id"": ""en"", ""list_item_id"": ""b49383a7-a83e-4c1b-a705-e4c21d49ba17"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""8dc4c1ac-aae5-41f6-817b-9ee5fef855fe""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58,e8b756c7-5bd8-481b-9c77-07fae1f01c18,[],f9f0dce9-ad56-49a7-a013-017a510f5c58
