row,field_name,sample_uuid,SampRpt,report_uuid,SampID,SampBy,samp_by_edit 1,samp_by_edit 2,samp_by_edit 3,samp_by_edit 4,SampDate,SampDate_edtf,SampMaterial,SampType,FieldProj,Country,place_uuid,country_new_uuid,Site/Provenance,SubSite,SampLoc,SampDescript,StoreLoc
124,Field Sample 124,97c90b8c-c3bc-469d-9807-9b1fc0c9edbb,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_Panel_2,Emily MacDonald-Korth,Emily MacDonald-Korth,,,,201210,2012-10,House paint,Fragment,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,"Eames House Patio, North Wall",Sample taken from top of painted panel near top of door,1-3-F
125,Field Sample 125,5cd3154d-007c-41b5-a389-4c105c5e61c3,,,CMAI_Eames_MISC_Fragments,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Fragment,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,,,1-3-F
126,Field Sample 126,245ce644-949d-4acc-af85-259a0c720e8d,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_East_Ext_1,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Fragment,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,East Exterior Window frame,Flake from window frame in location where new glass has been fitted,1-3-F
127,Field Sample 127,31ebc20a-489a-43ea-bd86-224b699c2698,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_East_Ext_1_XS,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Cross-section,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,East Exterior Window frame,Mounted flake from window frame in location where new glass has been fitted,1-3-F
128,Field Sample 128,b3efb0ba-8649-4a50-b1b7-684a29e6d1a2,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_East_Ext_2,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Fragment,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,East Exterior Window frame,"Sample taken from window frame, adjacent to windowpane, in area of historic glass; visible putty/white layer in places beneath black paint",1-3-F
129,Field Sample 129,9ca83829-8eac-4e92-bf8e-a30799d3462f,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_East_Ext_2A_XS,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Cross-section,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,East Exterior Window frame,"Mounted sample taken from window frame, adjacent to windowpane, in area of historic glass; visible putty/white layer in places beneath black paint",1-3-F
130,Field Sample 130,c51db884-c3da-48c9-8936-04b0d5146bc1,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_East_Ext_2B_XS,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Cross-section,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,East Exterior Window frame,"Mounted sample taken from window frame, adjacent to windowpane, in area of historic glass; visible putty/white layer in places beneath black paint",1-3-F
131,Field Sample 131,ea344b97-1559-41f2-9dde-0e885dc3f8a4,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_East_Ext_3,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Fragment,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,East Exterior Window frame,Sample taken from edge of loss on window frame at location of historic glass; white layer visible beneath the black layer.,1-3-F
132,Field Sample 132,6262e95a-b2c8-49ae-bb2d-d8eb4cf1457c,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_East_Ext_3_XS,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Cross-section,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,East Exterior Window frame,Mounted sample taken from edge of loss on window frame at location of historic glass; white layer visible beneath the black layer.,1-3-F
133,Field Sample 133,c9ef37ff-1a2f-435d-9402-3bf50d65ed2e,Analytical Report,599df1b7-3c7a-4974-a576-58cf59080704,CMAI_Eames_East_Ext_4,"Alan Phenix, Emily MacDonald-Korth",Alan Phenix,Emily MacDonald-Korth,,,201109,2011-09,House paint,Fragment,Eames House,United States,12ab92a6-0269-49b0-a116-6998fd2ce65f,,Eames House,House,East Exterior Window frame,"Sample taken from a crack near near the edge of the orange panel where it meets the black frame, white layer visible beneath the black layer.",1-3-F
