resourceinstance_id,name__name_language_,name__name_type_,name__name_content,object_type__object_type,current_location__current_location,current_owner__current_owner,removal_from_object_n1__removal_from_object_carried_out_by,removal_from_object_n1__removal_from_object_removed_from,part_of__part_of,row_num
466f051a-1529-427d-9be5-d60be9d99073,English (language),preferred terms,Sample A2 [Sample of 19th-century pigment mockup],samples,52c75bc1-7797-4ef8-b829-7ce771e4968a,9392634f-e956-4776-b4a8-a924557a05f8,,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,1
bc42ef5b-73da-45ca-923b-9bbf34e2084a,English (language),preferred terms,Sample C [Sample of 19th-century pigment mockup],samples,52c75bc1-7797-4ef8-b829-7ce771e4968a,9392634f-e956-4776-b4a8-a924557a05f8,,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,2
