resourceinstanceid,graphid,graphpublicationid,principaluser_id,common_name_tileid,common_name_name_content,common_name_name_type_,common_name_name_language_,barcode_no_tileid,barcode_no_identifier_content,barcode_no_identifier_type,tileid,facet_type,facet_type_metatype,additional_names_tileid,additional_names_name_content,additional_names_name_type_,additional_names_name_language_
4c157501-ed3b-4bd2-b063-c482d301a8d1,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,542c76a7-010c-4b05-889b-0dafd1185d2b,"{""en"": {""value"": ""Oak, Southern red"", ""direction"": ""ltr""}}",[],[],91af7f81-0cf5-4fea-8f10-f8e4e9a047dd,"{""en"": {""value"": ""10011"", ""direction"": ""ltr""}}",[],5d399007-9359-4625-b1b2-1203603a6ce3,[],[],,,,
a0c71fb3-9cb8-4351-b075-973d7bcd3f02,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,e7c94393-6295-4fd2-ad01-bc909c82e0f3,"{""en"": {""value"": ""Osage Orange"", ""direction"": ""ltr""}}",[],[],49d32966-c22d-4744-8bd3-7b4f2ca4dd75,"{""en"": {""value"": ""10012"", ""direction"": ""ltr""}}",[],ac87eed5-b945-4203-82dd-7050d1a55158,[],[],,,,
46c41b35-3426-491f-8cec-323183079a81,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,73bdc511-4811-4497-9504-925aadbe89e9,"{""en"": {""value"": ""Poplar, Yellow"", ""direction"": ""ltr""}}",[],[],b77f492d-18ec-4a50-8564-6daf953a7719,"{""en"": {""value"": ""10013"", ""direction"": ""ltr""}}",[],8b6f05fc-831f-4f5c-8e99-fe5c079ef5eb,[],[],,,,
4eb946bb-b200-4086-92c8-e2bfd121372d,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,417cd144-68f0-4e88-b222-9ac19efaec25,"{""en"": {""value"": ""Magnolia, Southern"", ""direction"": ""ltr""}}",[],[],9844efe6-ed5e-4ab4-9fda-1620de8778e9,"{""en"": {""value"": ""10014"", ""direction"": ""ltr""}}",[],70f50939-72ec-473f-bec1-383caa59c5ad,[],[],,,,
74732028-668c-4d47-9301-57fa872ffa3c,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,3012d24b-cb7e-49d6-bb71-78f8d172f0b7,"{""en"": {""value"": ""Sassafras"", ""direction"": ""ltr""}}",[],[],098afec4-cf80-4a77-b89a-6730773a5150,"{""en"": {""value"": ""10015"", ""direction"": ""ltr""}}",[],8334c479-9dc9-4aea-9a23-f60032267a5c,[],[],,,,
3f54f65c-dffa-4ffe-b1d3-ee88482c1e54,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,6a961e3d-7566-4c2c-a33c-1c71bdfe723c,"{""en"": {""value"": ""Sweet gum"", ""direction"": ""ltr""}}",[],[],2cf6550e-8859-44b3-9868-dbfab6adf61f,"{""en"": {""value"": ""10016"", ""direction"": ""ltr""}}",[],b9db9130-183b-4cd2-966d-3f8d9195eac1,[],[],,,,
b147adc4-65b0-44a7-aa4d-6b77df813aaa,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,a06e08e1-1288-4d92-8fca-1315520df967,"{""en"": {""value"": ""Sycamore, American"", ""direction"": ""ltr""}}",[],[],1d34db88-36cb-4a9b-ac6a-a4920256a19e,"{""en"": {""value"": ""10017"", ""direction"": ""ltr""}}",[],691c1741-0940-4c6d-86b9-1a0903d1afe0,[],[],,,,
741c76dd-ba35-474a-a6ee-62cfc22ce935,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,11d099b2-72bf-4b26-aa88-f0cbfa2c6449,"{""en"": {""value"": ""Ash, White"", ""direction"": ""ltr""}}",[],[],2b1de623-9771-40cf-87ea-27829ef54a89,"{""en"": {""value"": ""10018"", ""direction"": ""ltr""}}",[],e218db9f-cd86-43da-b8d4-066ff33dd414,[],[],,,,
e0697f87-ce70-432a-8001-672a4873ad63,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,02faf42d-fb15-48c8-a472-4c3931f01493,"{""en"": {""value"": ""Ash, Pumpkin"", ""direction"": ""ltr""}}",[],[],023b204f-8923-49da-9111-10f7baa8ec4b,"{""en"": {""value"": ""10019"", ""direction"": ""ltr""}}",[],44dd649d-d473-49ca-b85a-d7c0812496d4,[],[],,,,
a16ff65d-9b70-485e-abef-d2da2d7eb85d,d4e956f7-9fad-4fd2-94e3-563a3b2c3585,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,86ce51ba-b186-4cdc-9066-2825bd231d47,"{""en"": {""value"": ""Ramin"", ""direction"": ""ltr""}}",[],[],4ce74518-9d90-4bd7-abe4-959bdca9bc82,"{""en"": {""value"": ""10020"", ""direction"": ""ltr""}}",[],4b993cc6-fd91-43ff-bfef-5a7c9c501a58,[],[],2a4eb8f5-f45f-4c76-8478-9c14a87da6ab,"{""en"": {""value"": ""Genstylus bancanus"", ""direction"": ""ltr""}}",[],[]
