rsci_uuid,READY_dim1_value,READY_dim1_lowestvalue,READY_dim1_highestvalue,READY_dim1_unit,READY_dim1_type,READY_dim1_note,READY_dim2_value,READY_dim2_lowestvalue,READY_dim2_highestvalue,READY_dim2_unit,READY_dim2_type,READY_dim2_note
45399a0c-7d90-4f6c-bf52-05705ee3d77c,,,,,,,,,,,,
3112d8b0-cd67-4f09-bd0f-d43b3cb92edd,,,,,,,,,,,,
ae7e737c-fd7d-4e81-ba27-ba7fc32fce80,,,,,,,,,,,,
f07b593f-5740-4b09-9100-2b7494d05ce1,,,,,,,,,,,,
f522567f-9d5e-48e2-b161-07754be514a0,,,,,,,,,,,,
6143b50e-0678-4757-85f9-045b7a768fab,,,,,,,,,,,,
482f9dab-15b9-426a-8584-d61c08523b12,,,,,,,,,,,,
e5980438-39ec-4d57-bc55-600dc7b9bc96,,,,,,,,,,,,
dc455b21-dc09-4071-828c-263f00877fdc,,,,,,,,,,,,
fddf60f8-cb01-4a52-8e7e-57e715aa7933,,,,,,,,,,,,
3abc5bd9-8992-4bdb-8eeb-9662a3c3fb23,,,,,,,,,,,,
6f614462-2f16-4f92-87f1-206a4d169bc8,,,,,,,,,,,,
1630e836-3bd8-42ef-b2e1-3b5be92df1d6,,,,,,,,,,,,
dd5703b0-2b3b-41f5-9f4a-4b9aac8250c5,,,,,,,,,,,,
0fbbef1d-3288-4b8e-aa8d-41d17300e1f4,,,,,,,,,,,,
62cf02f7-b746-4be1-9480-c8149f4c63a1,,,,,,,,,,,,
deb1562f-d1a1-4c29-955e-eace1a0b671a,,,,,,,,,,,,
2920040b-a12d-429a-8318-56fa38d6bccb,,,,,,,,,,,,
6222cfb3-2f4d-41b0-b018-08c4b2cb2b7c,,,,,,,,,,,,
c845e0b1-3b56-4cc6-a523-0cc78ffd819f,,,,,,,,,,,,
bb2b1183-4692-49c2-987b-5c3d24099411,,,,,,,,,,,,
33ff594f-f131-4015-838a-d029d303515e,,,,,,,,,,,,
8e1c1524-2e50-45f3-9093-e664f88cc9b5,,,,,,,,,,,,
569c82bb-c0db-420c-a863-b154f27fe237,,,,,,,,,,,,
10abd128-581e-487e-b67f-7ec8091d9095,,,,,,,,,,,,
53ff805c-c13f-4f84-9110-708a0a3b429d,,,,,,,,,,,,
10f25076-5449-4540-b33f-4135228b5566,,,,,,,,,,,,
46276f2a-b70b-496c-8577-a01e00b09d7c,,,,,,,,,,,,
c854d91d-3504-4e48-b61b-bbec668e00a8,,,,,,,,,,,,
ac1313c0-f721-4a3e-a6ff-b46befca7e06,,,,,,,,,,,,
9194bc4e-cd04-4337-8ab8-27b6c36e8262,,,,,,,,,,,,
9560aa4c-45c6-4dcf-8fb0-3dfb1dc81522,,,,,,,,,,,,
14c08612-4c9e-40c8-a119-ea8f9b5ad142,,,,,,,,,,,,
1d16177e-1cf6-422a-a0ad-6c93518bd90e,,,,,,,,,,,,
e91bfdb9-eca4-4bb7-b1b3-6daf15248edf,,,,,,,,,,,,
54ff6a33-f98d-4077-b3e3-33c03e142521,,,,,,,,,,,,
2870f186-ac91-4c51-8353-8be8d4ea163e,,,,,,,,,,,,
81ff6f07-e9fe-4989-9cc0-3d623fd6a5ff,,,,,,,,,,,,
22c151d9-3d2a-4a91-8940-fb18dfc5052b,,,,,,,,,,,,
422ee00e-b14f-4693-8191-d6b007ffc914,,,,,,,,,,,,
1e17ced3-44de-4155-abf9-6501b924407e,,,,,,,,,,,,
af8ea152-4372-409c-bf9b-c21c549bd519,,,,,,,,,,,,
c209859a-21fc-4df9-bf6e-885ddf02a7fb,,,,,,,,,,,,
9b9ded8d-9308-4692-8417-133b20a159e4,,,,,,,,,,,,
5849a44a-9180-49c6-8221-8342a5f4f312,,,,,,,,,,,,
e2b1d6d8-b307-4ff8-b5fa-3100e4154f2c,,,,,,,,,,,,
28f3a8ee-b668-41b2-a412-9f7d7c8b3093,,,,,,,,,,,,
b85c9287-2715-428c-9a10-854902bc8f53,,,,,,,,,,,,
ef473d14-e707-423b-97e8-f6451f6832ec,,,,,,,,,,,,
0a2576be-1ac8-4b88-9d5b-5da275e14681,,,,,,,,,,,,
