resourceinstanceid,graphid,graphpublicationid,principaluser_id,transactionid,dig_res_name_tileid,dig_res_name_content,dig_res_name_type,dig_res_name_language,dig_res_name_transactionid
60604127-7380-4286-8723-ef32476bc9f1,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,9a00c2f5-0615-48a1-9c43-7ae6e1f9f9bf,"{""en"": {""value"": ""Spot 09 FORS (Spot 9 [Analysis Area of 19th-century pigment mockup])"", ""direction"": ""ltr""}}","[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/09c5997e-86f4-4689-bc6e-169e299acb9b"", ""labels"": [{""id"": ""84e87b98-e6db-4656-aa28-cd3585fb309b"", ""value"": ""primary name"", ""language_id"": ""en"", ""list_item_id"": ""09c5997e-86f4-4689-bc6e-169e299acb9b"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""9f1cf9a8-ce65-455f-ab1e-a9b36e9e23ce""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""bf59ca74-9146-4b2e-8ba7-3d7c30791491"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58
12e2fd03-b7b5-4096-9df9-99a369a5f946,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,4b161a50-786a-4e8d-9917-2a7c14222cdd,"{""en"": {""value"": ""Spot 11 FORS (Spot 11 [Analysis Area of 19th-century pigment mockup])"", ""direction"": ""ltr""}}","[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/09c5997e-86f4-4689-bc6e-169e299acb9b"", ""labels"": [{""id"": ""84e87b98-e6db-4656-aa28-cd3585fb309b"", ""value"": ""primary name"", ""language_id"": ""en"", ""list_item_id"": ""09c5997e-86f4-4689-bc6e-169e299acb9b"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""9f1cf9a8-ce65-455f-ab1e-a9b36e9e23ce""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""bf59ca74-9146-4b2e-8ba7-3d7c30791491"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58
225ce57b-6c0b-4eb4-8894-51debad23c15,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,ab9f4939-0904-4b85-8654-7ef10423a3ec,"{""en"": {""value"": ""Spot 12 FORS (Spot 12 [Analysis Area of 19th-century pigment mockup])"", ""direction"": ""ltr""}}","[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/09c5997e-86f4-4689-bc6e-169e299acb9b"", ""labels"": [{""id"": ""84e87b98-e6db-4656-aa28-cd3585fb309b"", ""value"": ""primary name"", ""language_id"": ""en"", ""list_item_id"": ""09c5997e-86f4-4689-bc6e-169e299acb9b"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""9f1cf9a8-ce65-455f-ab1e-a9b36e9e23ce""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""bf59ca74-9146-4b2e-8ba7-3d7c30791491"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58
65c6de5a-7ea4-46e0-bcfd-5e1c479bac1f,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,af4a9e11-375d-40b0-b6a5-249c16da24e5,"{""en"": {""value"": ""Spot 13 FORS (Spot 13 [Analysis Area of 19th-century pigment mockup])"", ""direction"": ""ltr""}}","[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/09c5997e-86f4-4689-bc6e-169e299acb9b"", ""labels"": [{""id"": ""84e87b98-e6db-4656-aa28-cd3585fb309b"", ""value"": ""primary name"", ""language_id"": ""en"", ""list_item_id"": ""09c5997e-86f4-4689-bc6e-169e299acb9b"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""9f1cf9a8-ce65-455f-ab1e-a9b36e9e23ce""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""bf59ca74-9146-4b2e-8ba7-3d7c30791491"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58
5746c92f-b8ce-4a90-bf26-e8ca2429ad59,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,343bb593-5415-45b9-86d9-7b576045e59b,"{""en"": {""value"": ""sC_spot 6 (C Spot 6 [Analysis Area of Sample C [Sample of 19th-century pigment mockup]])"", ""direction"": ""ltr""}}","[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/09c5997e-86f4-4689-bc6e-169e299acb9b"", ""labels"": [{""id"": ""84e87b98-e6db-4656-aa28-cd3585fb309b"", ""value"": ""primary name"", ""language_id"": ""en"", ""list_item_id"": ""09c5997e-86f4-4689-bc6e-169e299acb9b"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""9f1cf9a8-ce65-455f-ab1e-a9b36e9e23ce""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""bf59ca74-9146-4b2e-8ba7-3d7c30791491"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58
55e29584-b631-4dd2-a8dc-60ad4fcf4bd9,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,1a49f85d-e4e8-464e-9dcb-9b5a5ee65da5,"{""en"": {""value"": ""sA2_spot 1 Raman (A2 Spot 1 [Analysis Area of Sample A2 [Sample of 19th-century pigment mockup]])"", ""direction"": ""ltr""}}","[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/09c5997e-86f4-4689-bc6e-169e299acb9b"", ""labels"": [{""id"": ""84e87b98-e6db-4656-aa28-cd3585fb309b"", ""value"": ""primary name"", ""language_id"": ""en"", ""list_item_id"": ""09c5997e-86f4-4689-bc6e-169e299acb9b"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""9f1cf9a8-ce65-455f-ab1e-a9b36e9e23ce""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""bf59ca74-9146-4b2e-8ba7-3d7c30791491"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58
566f96fe-87ef-4711-9ad8-3693d48277ea,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,56445697-4936-4919-a6a3-454fb79cea42,"{""en"": {""value"": ""sC_spot 5 Raman (C Spot 5 [Analysis Area of Sample C [Sample of 19th-century pigment mockup]])"", ""direction"": ""ltr""}}","[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/09c5997e-86f4-4689-bc6e-169e299acb9b"", ""labels"": [{""id"": ""84e87b98-e6db-4656-aa28-cd3585fb309b"", ""value"": ""primary name"", ""language_id"": ""en"", ""list_item_id"": ""09c5997e-86f4-4689-bc6e-169e299acb9b"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""9f1cf9a8-ce65-455f-ab1e-a9b36e9e23ce""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""bf59ca74-9146-4b2e-8ba7-3d7c30791491"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58
c4677cb7-f7a8-4186-bf30-aad543b9d316,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,eafbb721-f9c9-4d57-b6b7-68318113cda7,"{""en"": {""value"": ""sA2_spot 02 Raman (A2 Spot 2 [Analysis Area of Sample A2 [Sample of 19th-century pigment mockup]])"", ""direction"": ""ltr""}}","[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/09c5997e-86f4-4689-bc6e-169e299acb9b"", ""labels"": [{""id"": ""84e87b98-e6db-4656-aa28-cd3585fb309b"", ""value"": ""primary name"", ""language_id"": ""en"", ""list_item_id"": ""09c5997e-86f4-4689-bc6e-169e299acb9b"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""9f1cf9a8-ce65-455f-ab1e-a9b36e9e23ce""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""bf59ca74-9146-4b2e-8ba7-3d7c30791491"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58
5effbdb1-63af-4d23-97fe-3711972d34b4,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,fa95808d-e337-4e1f-b0f9-44e524035586,"{""en"": {""value"": ""sA2_spot 03 Raman (A2 Spot 3 [Analysis Area of Sample A2 [Sample of 19th-century pigment mockup]])"", ""direction"": ""ltr""}}","[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/09c5997e-86f4-4689-bc6e-169e299acb9b"", ""labels"": [{""id"": ""84e87b98-e6db-4656-aa28-cd3585fb309b"", ""value"": ""primary name"", ""language_id"": ""en"", ""list_item_id"": ""09c5997e-86f4-4689-bc6e-169e299acb9b"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""9f1cf9a8-ce65-455f-ab1e-a9b36e9e23ce""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""bf59ca74-9146-4b2e-8ba7-3d7c30791491"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58
4ec84f54-c27f-4880-8339-146eb381363b,8713965e-d860-11ef-98f5-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f9f0dce9-ad56-49a7-a013-017a510f5c58,edfb1a7d-59a9-494a-ad4a-e6d1e577b2e4,"{""en"": {""value"": ""sC_spot 4 Raman (C Spot 4 [Analysis Area of Sample C [Sample of 19th-century pigment mockup]])"", ""direction"": ""ltr""}}","[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/09c5997e-86f4-4689-bc6e-169e299acb9b"", ""labels"": [{""id"": ""84e87b98-e6db-4656-aa28-cd3585fb309b"", ""value"": ""primary name"", ""language_id"": ""en"", ""list_item_id"": ""09c5997e-86f4-4689-bc6e-169e299acb9b"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""9f1cf9a8-ce65-455f-ab1e-a9b36e9e23ce""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""bf59ca74-9146-4b2e-8ba7-3d7c30791491"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]",f9f0dce9-ad56-49a7-a013-017a510f5c58
