resourceinstanceid,graphid,graphpublicationid,principaluser_id,transactionid,phys_things_state_cont_tileid,phys_things_state_cont_statement_content,phys_things_state_cont_statement_type,phys_things_state_cont_statement_language_,phys_things_state_cont_transactionid,phys_things_dim_tileid,phys_things_dim_dimension_type_,phys_things_dim_dimension_value_,phys_things_dim_dimension_lowest_possible_value,phys_things_dim_dimension_highest_possible_value,phys_things_dim_dimension_unit,phys_things_dim_transactionid
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,c08bae61-9726-47d8-9751-2dd04d20a7b4,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,9dddda78-32b9-4a56-a293-ef08d0f700b2,8faecab6-5519-418d-af7b-e04c6c7e4a23,"{""en"": {""value"": ""a collection of 19th c. pigments painted out on prepared canvas, by graduate intern Veronica Biolcati"", ""direction"": ""ltr""}}","[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b2f45594-6c10-49d7-a4b7-24e5ca839838"", ""labels"": [{""id"": ""ee1539ec-cdce-444b-a7bd-539f6c26567a"", ""value"": ""brief text"", ""language_id"": ""en"", ""list_item_id"": ""52946693-29d9-4292-a223-b20465e187ea"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""1adae7ea-4884-432f-af44-c9aea3a48a3d""}, {""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/9a51d30b-48e8-4f94-9344-cd2bb1d4b33a"", ""labels"": [{""id"": ""3ec920db-3a4f-4cd0-b374-5c95041cc708"", ""value"": ""description"", ""language_id"": ""en"", ""list_item_id"": ""36a049c5-1b61-4c79-b247-c04dfd2589b2"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""1adae7ea-4884-432f-af44-c9aea3a48a3d""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""bf59ca74-9146-4b2e-8ba7-3d7c30791491"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]",9dddda78-32b9-4a56-a293-ef08d0f700b2,ca7e54c4-8699-45cc-b424-c2d89f9e2dd1,[],40.6,40.6,40.6,[],9dddda78-32b9-4a56-a293-ef08d0f700b2
8fbd01f7-804b-4ae3-98bd-f9f18aa3cf3a,c08bae61-9726-47d8-9751-2dd04d20a7b4,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,9dddda78-32b9-4a56-a293-ef08d0f700b2,a3ba58de-0a4c-4f3c-838e-ccbd4cadd0d4,"{""en"": {""value"": ""oil paint on canvas"", ""direction"": ""ltr""}}","[{""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/b2f45594-6c10-49d7-a4b7-24e5ca839838"", ""labels"": [{""id"": ""ee1539ec-cdce-444b-a7bd-539f6c26567a"", ""value"": ""brief text"", ""language_id"": ""en"", ""list_item_id"": ""52946693-29d9-4292-a223-b20465e187ea"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""1adae7ea-4884-432f-af44-c9aea3a48a3d""}, {""uri"": ""http://localhost:8000/plugins/controlled-list-manager/item/7be0d823-b871-4006-9eed-e0351c604f05"", ""labels"": [{""id"": ""842339ec-d152-4338-97aa-6d0133133225"", ""value"": ""materials/technique description"", ""language_id"": ""en"", ""list_item_id"": ""7b1a6667-c15a-4623-8c22-b7e7d0266d34"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""1adae7ea-4884-432f-af44-c9aea3a48a3d""}]","[{""uri"": ""http://vocab.getty.edu/aat/300388277"", ""labels"": [{""id"": ""bf59ca74-9146-4b2e-8ba7-3d7c30791491"", ""value"": ""English (language)"", ""language_id"": ""en"", ""list_item_id"": ""38729dbe-6d1c-48ce-bf47-e2a18945600e"", ""valuetype_id"": ""prefLabel""}], ""list_id"": ""f7fc4f6d-fd46-4881-846f-4a08bc1a3fef""}]",9dddda78-32b9-4a56-a293-ef08d0f700b2,008a6d88-b350-4e95-954a-96a5f59ec2da,[],50.7,50.7,50.7,[],9dddda78-32b9-4a56-a293-ef08d0f700b2
