resourceinstanceid,graphid,graphpublicationid,principaluser_id,tileid,fire_safety_classification_classification,nodegroupid,related_objs,health_safety_classification_classification,reactivity_safety_tileid,reactivity_safety_general_safety_classification_classification,reactivity_safety_nodegroupid,reactivity_safety_related_objs,general_safety_classification_classification
27559385-9515-4357-8017-bc53a78f6b1c,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,8b41b44f-b1c4-40e2-a2b9-74467cd26e77,e985b150-5d14-4cf6-81f4-6429113312f7,bda25802-d376-11ef-a239-0275dc2ded29,"[{""resourceId"": ""19f9b6b2-02bf-4018-ae12-ed619d81571a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""94c11366-2c17-47df-947f-d542527a2846"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",ff7fa2f3-87ef-45dc-9d92-cb6848b776fc,,,,"""""",
2953a73e-77df-44a2-b343-c27f5f9acb11,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,96e8f44a-0db3-40cc-b8fe-42ba573676ed,e985b150-5d14-4cf6-81f4-6429113312f7,bda455bc-d376-11ef-a239-0275dc2ded29,"[{""resourceId"": ""19f9b6b2-02bf-4018-ae12-ed619d81571a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""b364e228-cd20-4e55-a73e-69d68bc1d5cf"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",,,,,"""""",
84fb5ea5-f4bb-4bf3-ae49-7b2c59fee2d3,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,b5e39d66-db02-47a8-90e1-c61e88d7ab02,e985b150-5d14-4cf6-81f4-6429113312f7,bda455bc-d376-11ef-a239-0275dc2ded29,"[{""resourceId"": ""19f9b6b2-02bf-4018-ae12-ed619d81571a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""e18d1704-9878-426c-940d-5d0e860ef5b1"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",,,,,"""""",
c735915c-7f50-4a47-b13f-6e50b5be66e3,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,2a9ce834-5b74-4ae7-99fc-ebe937c972ad,e985b150-5d14-4cf6-81f4-6429113312f7,bda25802-d376-11ef-a239-0275dc2ded29,"[{""resourceId"": ""19f9b6b2-02bf-4018-ae12-ed619d81571a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""1ebda1e6-76b6-4b44-a1dc-8d15a2395611"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",ff7fa2f3-87ef-45dc-9d92-cb6848b776fc,,,,"""""",
6aa6f08c-3714-4ece-9f80-d249e92f5e8e,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,c179d06d-a5fd-4f76-9c1f-ff07fe010973,e985b150-5d14-4cf6-81f4-6429113312f7,bda455bc-d376-11ef-a239-0275dc2ded29,"[{""resourceId"": ""19f9b6b2-02bf-4018-ae12-ed619d81571a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""512c529a-3ada-40a4-9953-6b2df84961ec"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",,,,,"""""",
18080a5b-0005-40ac-9dfa-3c2a3e24a889,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,46710e16-cd2b-4db4-9398-4b875f31d0ba,e985b150-5d14-4cf6-81f4-6429113312f7,bda455bc-d376-11ef-a239-0275dc2ded29,"[{""resourceId"": ""19f9b6b2-02bf-4018-ae12-ed619d81571a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""dca3f591-7fa2-484a-a761-69fc7960cd8c"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",,,,,"""""",
9ec1273d-337d-41b1-9ba9-034569584f72,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,e1805e8a-00da-49e2-97fb-153bca13ffa7,141fa84a-489b-4897-a9ee-3e9515517578,bda25802-d376-11ef-a239-0275dc2ded29,"[{""resourceId"": ""19f9b6b2-02bf-4018-ae12-ed619d81571a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""b3da8bcd-b89f-4b95-adeb-b15e8db4b135"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",ff7fa2f3-87ef-45dc-9d92-cb6848b776fc,730a1914-9132-4c74-a373-8de02ce08637,d4bc692c-954e-4615-bdc6-f65fa9f01a47,bda4e2d4-d376-11ef-a239-0275dc2ded29,"[{""resourceId"": ""19f9b6b2-02bf-4018-ae12-ed619d81571a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""6525b50c-62de-47d0-9900-57109855d100"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",
1fa96cec-23b1-4cb1-94e9-8c6982dbcf7e,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,bfec1dde-a94b-4a68-af39-3011b1338f8d,e985b150-5d14-4cf6-81f4-6429113312f7,bda25802-d376-11ef-a239-0275dc2ded29,"[{""resourceId"": ""19f9b6b2-02bf-4018-ae12-ed619d81571a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""3942ed00-6c97-4039-84e8-074a53f043ce"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",4fc13889-bc88-4fc5-8ae8-56748363caf4,d6811846-17f6-49a4-a34b-4d0d8793a24c,d4bc692c-954e-4615-bdc6-f65fa9f01a47,bda4e2d4-d376-11ef-a239-0275dc2ded29,"[{""resourceId"": ""19f9b6b2-02bf-4018-ae12-ed619d81571a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""029a86a1-aaa6-4624-9c52-888975bb0fe3"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",
afe8a8a7-a7ab-440b-be1e-917682b7dd34,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,a3059a32-5c71-4843-8920-eead84a3abee,b1e26e3a-b178-4e51-8ae1-261a9937a099,bda25802-d376-11ef-a239-0275dc2ded29,"[{""resourceId"": ""19f9b6b2-02bf-4018-ae12-ed619d81571a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""8d0a70d1-e6aa-4aea-9c3e-a37c7d83a430"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",4fc13889-bc88-4fc5-8ae8-56748363caf4,e80ed267-bda0-4de1-90ba-50d423276601,d4bc692c-954e-4615-bdc6-f65fa9f01a47,bda4e2d4-d376-11ef-a239-0275dc2ded29,"[{""resourceId"": ""19f9b6b2-02bf-4018-ae12-ed619d81571a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""aa91fea9-a52e-48fb-b910-ccdf1119d708"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",
214cb173-8a8e-47c4-8093-825c1ef36787,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,8598d3f3-9ec5-4a83-add4-7c5ddfbfbef0,b1e26e3a-b178-4e51-8ae1-261a9937a099,bda25802-d376-11ef-a239-0275dc2ded29,"[{""resourceId"": ""19f9b6b2-02bf-4018-ae12-ed619d81571a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""339fd719-318b-4a1d-af69-43724e6c3c17"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",4fc13889-bc88-4fc5-8ae8-56748363caf4,61fb67d1-42ce-4bd0-88ad-c9bc9c5df950,d4bc692c-954e-4615-bdc6-f65fa9f01a47,bda4e2d4-d376-11ef-a239-0275dc2ded29,"[{""resourceId"": ""19f9b6b2-02bf-4018-ae12-ed619d81571a"", ""ontologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55"", ""resourceXresourceId"": ""99470adb-5ced-4f34-9735-09693ca3b213"", ""inverseOntologyProperty"": ""ac41d9be-79db-4256-b368-2f4559cfbe55""}]",
