resourceinstanceid,graphid,graphpublicationid,principaluser_id,chem_tileid,chem_material_data_assignment_name_content,chem_nodegroupid,chem_material_data_assignment_name_type,chem_material_data_assignment_name_language
74732028-668c-4d47-9301-57fa872ffa3c,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,7962de33-f17b-44a6-aabe-25bb7c31a5ce,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
3f54f65c-dffa-4ffe-b1d3-ee88482c1e54,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,f48ff1f4-0d37-46a7-bb5e-5ae4e6d28204,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
b147adc4-65b0-44a7-aa4d-6b77df813aaa,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,691643dd-2ea4-495a-9016-4e6e43239015,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
741c76dd-ba35-474a-a6ee-62cfc22ce935,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,62b012fb-d993-496b-8f04-0d1e47f0eb74,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
e0697f87-ce70-432a-8001-672a4873ad63,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,d36cadcc-4d2b-4a11-a838-79a6725d3835,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
a16ff65d-9b70-485e-abef-d2da2d7eb85d,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,fec979b0-9559-4fd6-978c-f5c62be34940,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
c25dd19c-ff51-4e87-a1c3-520bd4dcb017,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,a5430029-e970-49eb-8868-7023a4d0557c,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
b95de53b-0769-4b54-9a76-4b4bf30a545b,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,521e0db8-eb62-410b-9547-884babfbe608,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
b4290a55-95dd-4010-8e0f-ae8e6bc44cbe,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,ff011bea-94bc-44a5-abde-c4eb1a78817b,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
3edcff3b-4f8b-4aa1-8ada-b6828dd04848,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,05a40c4a-32d0-4876-86ab-43a4a8e12466,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
e6157a65-ff3f-46bb-9b31-3e54a65c9afe,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,b885edba-ab51-4aba-9448-1b1f709f8c89,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
64cfc5da-0901-4439-95f0-f57b46f9d855,bda239c6-d376-11ef-a239-0275dc2ded29,a4ea5a7a-d7f0-11ef-a75a-0275dc2ded29,1,209d081a-fbe2-4c7d-b56e-f0efa82f0c3b,"""[\""c89a159f-d5b1-4f65-b2ef-755d70346c8c\""]""",bda3b60c-d376-11ef-a239-0275dc2ded29,"""""",""""""
