-0.9561,       0
-0.9461,       0
-0.9361,       0
-0.9261,       0
-0.9161,       0
-0.9061,       0
-0.8961,       0
-0.8861,       0
-0.8761,       0
-0.8661,       0
-0.8561,       0
-0.8461,       0
-0.8361,       0
-0.8261,       0
-0.8161,       0
-0.8061,       0
-0.7961,       0
-0.7861,       0
-0.7761,       0
-0.7661,       0
-0.7561,       0
-0.7461,       0
-0.7361,       0
-0.7261,       0
-0.7161,       0
-0.7061,       0
-0.6961,       0
-0.6861,       0
-0.6761,       0
-0.6661,       0
-0.6561,       0
-0.6461,       0
-0.6361,       0
-0.6261,       0
-0.6161,       0
-0.6061,       0
-0.5961,       0
-0.5861,       0
-0.5761,       0
-0.5661,       0
-0.5561,       0
-0.5461,       0
-0.5361,       0
-0.5261,       0
-0.5161,       0
-0.5061,       0
-0.4960,       0
-0.4860,       0
-0.4760,       0
-0.4660,       0
-0.4560,       0
-0.4460,       0
-0.4360,       0
-0.4260,       0
-0.4160,       0
-0.4060,       0
-0.3960,       0
-0.3860,       0
-0.3760,       0
-0.3660,       0
-0.3560,       0
-0.3460,       0
-0.3360,       0
-0.3260,       0
-0.3160,       0
-0.3060,       0
-0.2960,       0
-0.2860,       0
-0.2760,       0
-0.2660,      -1
-0.2560,      -1
-0.2460,      -1
-0.2360,      -1
-0.2260,       0
-0.2160,       1
-0.2060,      -2
-0.1960,      -1
-0.1860,       2
-0.1760,       2
-0.1660,      -3
-0.1560,       3
-0.1460,      -5
-0.1360,      -5
-0.1260,      27
-0.1160,     -30
-0.1060,     -12
-0.0960,      24
-0.0860,     -44
-0.0760,      25
-0.0660,    -311
-0.0560,      51
-0.0460,    -115
-0.0360,      56
-0.0260,     363
-0.0160,     148
-0.0060,     153
 0.0040,    -515
 0.0140,     -86
 0.0240,     298
 0.0340,     160
 0.0440,      82
 0.0540,    -256
 0.0640,      -8
 0.0740,      48
 0.0840,     -13
 0.0940,     -12
 0.1040,      27
 0.1140,       1
 0.1240,      -7
 0.1340,       2
 0.1440,       1
 0.1540,       1
 0.1640,       2
 0.1740,      -1
 0.1840,       2
 0.1940,       0
 0.2040,       0
 0.2140,       0
 0.2240,       0
 0.2340,       0
 0.2440,       0
 0.2540,       0
 0.2640,       0
 0.2740,       0
 0.2840,       0
 0.2940,       0
 0.3040,      -2
 0.3140,     -20
 0.3240,     -19
 0.3340,     -14
 0.3440,     -10
 0.3540,     -11
 0.3640,     -15
 0.3740,     -29
 0.3840,     -25
 0.3940,      -4
 0.4040,     -17
 0.4140,     -11
 0.4240,      -5
 0.4340,     -20
 0.4440,     -10
 0.4540,      -4
 0.4640,      -5
 0.4740,     -10
 0.4840,     -19
 0.4940,     -16
 0.5041,     -18
 0.5141,     -13
 0.5241,     -20
 0.5341,     -15
 0.5441,      -9
 0.5541,     -23
 0.5641,     -22
 0.5741,      -6
 0.5841,     -14
 0.5941,      -8
 0.6041,     -14
 0.6141,      -7
 0.6241,     -12
 0.6341,     -10
 0.6441,     -21
 0.6541,      -9
 0.6641,     -19
 0.6741,     -15
 0.6841,      -6
 0.6941,     -20
 0.7041,     -20
 0.7141,      -4
 0.7241,      -4
 0.7341,     -15
 0.7441,       3
 0.7541,     -11
 0.7641,      -9
 0.7741,      -1
 0.7841,      -9
 0.7941,     -12
 0.8041,     -18
 0.8141,     -12
 0.8241,      -5
 0.8341,      -4
 0.8441,     -15
 0.8541,       3
 0.8641,     -17
 0.8741,     -13
 0.8841,     -20
 0.8941,     -13
 0.9041,     -15
 0.9141,     -13
 0.9241,     -21
 0.9341,     -19
 0.9441,     -14
 0.9541,     -23
 0.9641,     -17
 0.9741,     -17
 0.9841,     -20
 0.9941,       0
 1.0041,      -9
 1.0141,     -12
 1.0241,     -18
 1.0341,     -15
 1.0441,      -3
 1.0541,     -12
 1.0641,     -15
 1.0741,     -20
 1.0841,       1
 1.0941,      -2
 1.1041,     -14
 1.1141,      -7
 1.1241,     -11
 1.1341,     -13
 1.1441,      -1
 1.1541,       6
 1.1641,      -5
